Wins Agent 1, Civilian Victories Agent 1, Military Victories Agent 1, Scientific Victories Agent 1, Wins Agent 2, Civilian Victories Agent 2, Military Victories Agent 2, Scientific Victories Agent 2
983,254,729,0,17,17,0,0
982,249,733,0,18,18,0,0
983,263,720,0,17,17,0,0
988,248,740,0,12,12,0,0
981,254,727,0,19,19,0,0
983,258,725,0,17,17,0,0
986,238,748,0,14,14,0,0
988,275,713,0,12,12,0,0
984,253,731,0,16,16,0,0
982,239,743,0,18,18,0,0
979,271,708,0,21,21,0,0
980,253,727,0,19,19,0,0
982,256,726,0,18,18,0,0
982,253,729,0,18,18,0,0
994,225,769,0,6,6,0,0
987,276,711,0,13,13,0,0
983,258,725,0,17,17,0,0
990,245,745,0,10,10,0,0
986,234,752,0,14,14,0,0
980,244,736,0,20,20,0,0
986,274,712,0,14,14,0,0
983,261,722,0,17,17,0,0
984,265,719,0,16,16,0,0
982,256,726,0,18,18,0,0
984,252,732,0,16,16,0,0
983,234,749,0,17,17,0,0
984,243,741,0,16,16,0,0
986,215,771,0,14,14,0,0
990,257,733,0,10,10,0,0
981,254,727,0,19,19,0,0
972,249,723,0,28,28,0,0
981,262,719,0,19,19,0,0
990,243,747,0,10,10,0,0
985,261,724,0,15,15,0,0
985,259,726,0,15,14,1,0
980,225,755,0,20,19,1,0
981,257,724,0,19,19,0,0
987,249,738,0,13,13,0,0
981,283,698,0,19,19,0,0
986,230,756,0,14,14,0,0
988,280,708,0,12,12,0,0
986,234,752,0,14,14,0,0
976,261,715,0,24,24,0,0
984,254,730,0,16,16,0,0
983,235,748,0,17,17,0,0
981,255,726,0,19,19,0,0
989,241,748,0,11,11,0,0
978,266,712,0,22,22,0,0
986,265,721,0,14,14,0,0
986,242,744,0,14,14,0,0
978,239,739,0,22,22,0,0
981,246,735,0,19,19,0,0
989,249,740,0,11,10,1,0
980,221,759,0,20,20,0,0
983,250,733,0,17,17,0,0
991,280,711,0,9,9,0,0
983,255,728,0,17,17,0,0
986,243,743,0,14,14,0,0
988,258,730,0,12,12,0,0
987,246,741,0,13,13,0,0
985,237,748,0,15,15,0,0
982,247,735,0,18,18,0,0
987,249,738,0,13,13,0,0
986,238,748,0,14,14,0,0
986,239,747,0,14,14,0,0
987,275,712,0,13,13,0,0
980,257,723,0,20,20,0,0
982,255,727,0,18,18,0,0
980,243,737,0,20,20,0,0
988,266,722,0,12,11,1,0
984,259,725,0,16,16,0,0
982,266,716,0,18,18,0,0
980,262,718,0,20,20,0,0
984,236,748,0,16,16,0,0
982,240,742,0,18,17,1,0
983,244,739,0,17,17,0,0
990,250,740,0,10,10,0,0
982,247,735,0,18,18,0,0
985,257,728,0,15,15,0,0
982,265,717,0,18,18,0,0
984,244,740,0,16,16,0,0
985,239,746,0,15,15,0,0
984,240,744,0,16,16,0,0
982,234,748,0,18,18,0,0
982,254,728,0,18,18,0,0
978,232,746,0,22,22,0,0
979,262,717,0,21,21,0,0
977,220,757,0,23,22,0,1
977,263,714,0,23,23,0,0
979,256,723,0,21,21,0,0
987,255,732,0,13,13,0,0
981,270,711,0,19,19,0,0
993,254,739,0,7,7,0,0
987,271,716,0,13,13,0,0
984,247,737,0,16,16,0,0
977,258,719,0,23,23,0,0
986,275,711,0,14,14,0,0
984,252,732,0,16,16,0,0
984,235,749,0,16,16,0,0
984,240,744,0,16,16,0,0
