Wins Agent 1, Civilian Victories Agent 1, Military Victories Agent 1, Scientific Victories Agent 1, Wins Agent 2, Civilian Victories Agent 2, Military Victories Agent 2, Scientific Victories Agent 2
962,795,167,0,38,1,37,0
963,787,176,0,37,2,35,0
962,799,163,0,38,0,38,0
949,784,165,0,51,1,50,0
969,788,181,0,31,1,30,0
956,762,194,0,44,1,43,0
950,757,193,0,50,3,47,0
960,776,184,0,40,2,38,0
964,788,176,0,36,2,34,0
969,784,185,0,31,1,30,0
957,781,176,0,43,4,39,0
956,762,194,0,44,1,43,0
957,775,182,0,43,2,41,0
961,786,175,0,39,0,39,0
952,752,200,0,48,2,46,0
966,771,195,0,34,1,33,0
960,780,180,0,40,1,39,0
973,785,188,0,27,2,25,0
954,762,192,0,46,2,44,0
960,782,178,0,40,1,39,0
962,793,169,0,38,0,38,0
965,792,173,0,35,0,35,0
953,790,163,0,47,3,44,0
961,779,182,0,39,1,38,0
968,782,186,0,32,2,30,0
957,770,187,0,43,2,41,0
959,773,186,0,41,1,40,0
951,783,168,0,49,1,48,0
956,799,157,0,44,1,43,0
966,805,161,0,34,0,34,0
965,803,162,0,35,3,32,0
965,792,173,0,35,1,34,0
975,783,192,0,25,0,25,0
982,802,180,0,18,0,18,0
956,802,154,0,44,2,42,0
967,775,192,0,33,0,33,0
960,780,180,0,40,0,40,0
955,782,173,0,45,0,45,0
964,777,187,0,36,1,35,0
959,763,196,0,41,0,41,0
968,777,191,0,32,1,31,0
955,809,146,0,45,1,44,0
966,765,201,0,34,2,32,0
962,766,196,0,38,0,38,0
963,792,171,0,37,1,36,0
960,773,187,0,40,0,40,0
961,770,191,0,39,0,39,0
963,783,180,0,37,2,35,0
967,794,173,0,33,2,31,0
955,744,211,0,45,0,45,0
962,777,185,0,38,3,35,0
963,807,156,0,37,1,36,0
964,773,191,0,36,1,35,0
958,783,175,0,42,3,39,0
970,777,193,0,30,2,28,0
953,780,173,0,47,0,47,0
956,782,174,0,44,3,41,0
973,775,198,0,27,0,27,0
958,760,198,0,42,1,41,0
967,798,169,0,33,1,32,0
969,779,190,0,31,1,30,0
963,763,200,0,37,2,35,0
960,788,172,0,40,1,39,0
959,771,188,0,41,2,39,0
959,798,161,0,41,1,40,0
964,761,203,0,36,2,34,0
964,780,184,0,36,1,35,0
954,763,191,0,46,0,46,0
965,777,188,0,35,0,35,0
959,777,182,0,41,2,39,0
961,782,179,0,39,1,38,0
960,776,184,0,40,1,39,0
980,790,190,0,20,2,18,0
956,744,212,0,44,3,41,0
956,788,168,0,44,1,43,0
953,770,183,0,47,2,45,0
952,741,211,0,48,0,48,0
965,799,166,0,35,2,33,0
958,757,201,0,42,1,41,0
953,778,175,0,47,3,44,0
967,794,173,0,33,1,32,0
965,778,187,0,35,3,32,0
945,739,206,0,55,2,53,0
968,792,176,0,32,0,32,0
958,754,204,0,42,0,42,0
970,790,180,0,30,0,30,0
961,788,173,0,39,0,39,0
962,777,185,0,38,2,36,0
963,787,176,0,37,2,35,0
967,794,173,0,33,0,33,0
962,783,179,0,38,3,35,0
961,779,182,0,39,0,39,0
958,775,183,0,42,3,39,0
960,792,168,0,40,2,38,0
965,789,176,0,35,2,33,0
965,763,202,0,35,1,34,0
961,771,190,0,39,1,38,0
959,809,150,0,41,3,38,0
965,789,176,0,35,1,34,0
967,777,190,0,33,0,33,0
