Wins Agent 1, Civilian Victories Agent 1, Military Victories Agent 1, Scientific Victories Agent 1, Wins Agent 2, Civilian Victories Agent 2, Military Victories Agent 2, Scientific Victories Agent 2
998,322,676,0,2,2,0,0
997,332,665,0,3,3,0,0
1000,341,659,0,0,0,0,0
999,347,652,0,1,1,0,0
999,317,682,0,1,1,0,0
999,360,639,0,1,1,0,0
999,317,682,0,1,1,0,0
999,334,665,0,1,1,0,0
998,356,642,0,2,2,0,0
998,338,660,0,2,2,0,0
999,349,650,0,1,1,0,0
997,341,656,0,3,3,0,0
999,335,664,0,1,1,0,0
998,325,673,0,2,2,0,0
998,329,669,0,2,2,0,0
997,327,670,0,3,3,0,0
998,342,656,0,2,2,0,0
999,307,692,0,1,1,0,0
997,321,676,0,3,3,0,0
999,350,649,0,1,1,0,0
999,319,680,0,1,1,0,0
996,333,663,0,4,4,0,0
999,336,663,0,1,1,0,0
997,337,660,0,3,3,0,0
999,326,673,0,1,1,0,0
1000,331,669,0,0,0,0,0
999,354,645,0,1,1,0,0
1000,351,649,0,0,0,0,0
998,370,628,0,2,2,0,0
999,325,674,0,1,1,0,0
998,322,676,0,2,2,0,0
998,341,657,0,2,2,0,0
998,350,648,0,2,2,0,0
999,326,673,0,1,1,0,0
997,321,676,0,3,3,0,0
1000,351,649,0,0,0,0,0
996,340,656,0,4,4,0,0
999,350,649,0,1,1,0,0
998,310,688,0,2,2,0,0
996,318,678,0,4,4,0,0
998,349,649,0,2,2,0,0
996,315,681,0,4,4,0,0
999,345,654,0,1,1,0,0
1000,319,681,0,0,0,0,0
999,351,648,0,1,1,0,0
997,340,657,0,3,3,0,0
1000,360,640,0,0,0,0,0
998,345,653,0,2,2,0,0
997,342,655,0,3,3,0,0
999,308,691,0,1,1,0,0
1000,346,654,0,0,0,0,0
998,347,651,0,2,2,0,0
998,353,645,0,2,2,0,0
999,339,660,0,1,1,0,0
997,339,658,0,3,3,0,0
1000,328,672,0,0,0,0,0
997,359,638,0,3,3,0,0
999,358,641,0,1,1,0,0
1000,356,644,0,0,0,0,0
998,334,664,0,2,2,0,0
999,377,622,0,1,1,0,0
999,351,648,0,0,0,0,0
998,390,608,0,2,2,0,0
1000,330,670,0,0,0,0,0
999,374,625,0,1,1,0,0
995,358,637,0,5,5,0,0
998,373,625,0,2,2,0,0
998,331,667,0,2,2,0,0
1000,330,670,0,0,0,0,0
999,335,664,0,1,1,0,0
997,340,657,0,3,3,0,0
997,353,644,0,3,3,0,0
1000,327,673,0,0,0,0,0
998,346,652,0,2,1,1,0
999,361,638,0,1,1,0,0
999,357,642,0,1,0,1,0
998,348,650,0,2,2,0,0
999,344,655,0,1,1,0,0
999,347,652,0,1,1,0,0
998,351,647,0,2,2,0,0
999,336,663,0,1,1,0,0
997,348,649,0,3,3,0,0
998,351,647,0,2,2,0,0
999,355,644,0,1,1,0,0
999,332,667,0,1,1,0,0
998,341,657,0,2,2,0,0
996,349,647,0,4,4,0,0
1000,372,628,0,0,0,0,0
996,334,662,0,4,4,0,0
996,326,670,0,4,4,0,0
998,338,660,0,2,2,0,0
1000,350,650,0,0,0,0,0
995,336,659,0,4,4,0,0
999,384,615,0,1,1,0,0
999,358,641,0,1,1,0,0
998,352,646,0,2,2,0,0
998,332,666,0,2,2,0,0
999,367,632,0,1,1,0,0
999,352,647,0,1,1,0,0
1000,359,641,0,0,0,0,0
