Wins Agent 1, Civilian Victories Agent 1, Military Victories Agent 1, Scientific Victories Agent 1, Wins Agent 2, Civilian Victories Agent 2, Military Victories Agent 2, Scientific Victories Agent 2
711,464,247,0,287,260,27,0
684,428,256,0,315,283,31,1
670,440,230,0,329,304,25,0
648,418,230,0,351,322,29,0
657,416,241,0,342,302,40,0
687,455,232,0,313,287,26,0
675,452,223,0,325,293,32,0
692,437,255,0,308,271,37,0
689,473,216,0,310,281,29,0
699,452,247,0,301,267,34,0
724,466,258,0,275,250,25,0
693,463,230,0,307,282,25,0
699,460,239,0,301,258,43,0
679,420,259,0,321,287,34,0
656,455,201,0,342,305,37,0
663,428,235,0,337,297,40,0
688,434,254,0,312,282,30,0
685,430,255,0,313,286,27,0
669,453,216,0,331,291,40,0
713,465,248,0,286,251,35,0
681,439,242,0,319,285,34,0
673,438,235,0,327,299,28,0
658,431,227,0,341,300,41,0
667,454,213,0,333,303,30,0
702,448,254,0,298,271,27,0
701,462,239,0,299,269,30,0
717,460,257,0,281,255,25,1
687,447,240,0,312,271,41,0
667,437,230,0,333,304,29,0
667,448,219,0,331,307,24,0
688,435,253,0,312,286,26,0
673,434,239,0,326,311,15,0
659,451,208,0,340,299,41,0
685,438,247,0,314,277,37,0
673,453,220,0,326,299,27,0
668,447,221,0,331,304,27,0
652,424,228,0,346,308,38,0
709,475,234,0,290,258,32,0
680,475,205,0,318,288,30,0
689,454,235,0,310,283,27,0
684,440,244,0,316,273,43,0
667,434,233,0,333,294,39,0
698,414,284,0,302,275,27,0
677,441,236,0,323,296,27,0
705,454,251,0,294,266,28,0
665,415,250,0,335,296,39,0
695,458,237,0,305,278,27,0
696,430,266,0,304,277,27,0
692,442,250,0,308,274,34,0
657,423,234,0,342,316,26,0
694,444,250,0,305,279,26,0
677,424,253,0,322,289,33,0
693,435,258,0,307,278,29,0
656,412,244,0,342,317,25,0
697,436,261,0,302,267,35,0
684,436,248,0,316,285,31,0
705,456,249,0,295,272,23,0
684,444,240,0,316,293,23,0
715,454,261,0,285,261,24,0
695,441,254,0,302,277,25,0
664,430,234,0,336,304,32,0
716,454,262,0,283,251,32,0
681,416,265,0,319,296,23,0
672,434,238,0,328,297,31,0
660,423,237,0,339,303,36,0
708,472,236,0,292,260,32,0
713,443,270,0,287,257,30,0
690,424,266,0,309,281,27,1
654,401,253,0,345,317,28,0
698,438,260,0,302,267,35,0
683,431,252,0,316,293,23,0
720,457,263,0,280,252,28,0
695,458,237,0,303,279,24,0
706,446,260,0,294,268,26,0
676,415,261,0,323,286,37,0
707,455,252,0,293,265,28,0
663,402,261,0,336,299,37,0
703,450,253,0,297,273,24,0
681,445,236,0,319,297,22,0
699,430,269,0,301,277,24,0
695,432,263,0,303,275,28,0
698,429,269,0,300,283,17,0
696,450,246,0,304,279,25,0
709,443,266,0,290,265,25,0
686,434,252,0,314,279,35,0
697,425,272,0,302,275,27,0
673,431,242,0,327,292,35,0
693,437,256,0,306,280,26,0
729,457,272,0,271,248,23,0
703,449,254,0,297,273,24,0
680,427,253,0,320,293,27,0
669,419,250,0,331,303,28,0
712,447,265,0,288,256,32,0
697,457,240,0,301,274,27,0
681,433,248,0,319,278,41,0
707,447,260,0,293,264,29,0
691,444,247,0,308,280,28,0
689,448,241,0,311,287,24,0
690,432,258,0,310,280,30,0
714,445,269,0,283,256,27,0
