Wins Agent 1, Civilian Victories Agent 1, Military Victories Agent 1, Scientific Victories Agent 1, Wins Agent 2, Civilian Victories Agent 2, Military Victories Agent 2, Scientific Victories Agent 2
998,252,746,0,2,2,0,0
999,286,713,0,1,1,0,0
997,295,702,0,3,3,0,0
993,264,729,0,7,7,0,0
997,291,706,0,3,3,0,0
995,282,713,0,5,3,2,0
994,311,683,0,6,6,0,0
1000,276,724,0,0,0,0,0
998,262,736,0,2,2,0,0
997,290,707,0,3,3,0,0
1000,280,720,0,0,0,0,0
999,307,692,0,1,1,0,0
998,305,693,0,2,2,0,0
994,271,723,0,6,6,0,0
998,272,726,0,2,1,1,0
994,289,705,0,6,6,0,0
996,272,724,0,4,4,0,0
997,272,725,0,3,3,0,0
994,294,700,0,6,6,0,0
996,293,703,0,4,3,1,0
998,254,744,0,2,2,0,0
996,291,705,0,4,4,0,0
996,284,712,0,4,4,0,0
999,262,737,0,1,1,0,0
999,252,747,0,1,1,0,0
998,277,721,0,2,2,0,0
998,246,752,0,2,2,0,0
997,268,729,0,3,3,0,0
996,268,728,0,4,4,0,0
998,274,724,0,2,2,0,0
998,283,715,0,2,2,0,0
995,309,686,0,5,5,0,0
998,279,719,0,2,2,0,0
996,267,729,0,4,4,0,0
999,290,709,0,1,1,0,0
997,293,704,0,3,3,0,0
1000,256,744,0,0,0,0,0
997,272,725,0,3,3,0,0
999,260,739,0,1,1,0,0
1000,276,724,0,0,0,0,0
996,268,728,0,4,4,0,0
999,281,718,0,1,1,0,0
995,266,729,0,5,5,0,0
998,256,742,0,2,2,0,0
996,289,707,0,4,4,0,0
995,285,710,0,5,5,0,0
999,263,736,0,1,1,0,0
995,288,707,0,5,5,0,0
999,266,733,0,1,1,0,0
999,298,701,0,1,1,0,0
997,244,753,0,3,3,0,0
994,266,728,0,6,6,0,0
997,287,710,0,3,3,0,0
998,287,711,0,2,2,0,0
998,266,732,0,1,1,0,0
995,252,743,0,5,4,1,0
995,285,710,0,5,5,0,0
998,285,713,0,2,2,0,0
996,263,733,0,4,4,0,0
995,237,758,0,5,5,0,0
998,295,703,0,2,1,1,0
995,264,731,0,5,5,0,0
996,293,703,0,4,4,0,0
999,262,737,0,1,1,0,0
999,267,732,0,1,1,0,0
996,266,730,0,4,4,0,0
996,290,706,0,4,4,0,0
1000,253,747,0,0,0,0,0
1000,277,723,0,0,0,0,0
999,256,743,0,1,1,0,0
997,252,745,0,3,3,0,0
997,258,739,0,3,3,0,0
998,272,726,0,2,2,0,0
996,294,702,0,4,4,0,0
997,252,745,0,3,3,0,0
994,252,742,0,6,6,0,0
999,277,722,0,1,1,0,0
996,279,717,0,4,4,0,0
994,270,724,0,6,5,1,0
998,258,740,0,2,2,0,0
996,280,716,0,4,4,0,0
995,290,705,0,5,5,0,0
998,268,730,0,2,2,0,0
994,284,710,0,6,6,0,0
996,274,722,0,4,4,0,0
996,270,726,0,4,3,1,0
996,269,727,0,4,3,1,0
997,258,739,0,3,3,0,0
997,298,699,0,3,3,0,0
996,290,706,0,4,4,0,0
996,293,703,0,4,4,0,0
997,265,732,0,3,3,0,0
998,291,707,0,2,2,0,0
994,282,712,0,6,6,0,0
998,275,723,0,2,2,0,0
999,277,722,0,1,1,0,0
999,283,716,0,1,1,0,0
997,262,735,0,3,3,0,0
998,303,695,0,2,2,0,0
998,306,692,0,2,2,0,0
