Wins Agent 1, Civilian Victories Agent 1, Military Victories Agent 1, Scientific Victories Agent 1, Wins Agent 2, Civilian Victories Agent 2, Military Victories Agent 2, Scientific Victories Agent 2
826,513,313,0,174,53,6,115
819,520,299,0,180,54,4,122
824,528,296,0,176,52,5,119
824,519,305,0,176,71,5,100
834,531,303,0,166,68,8,90
822,516,306,0,178,60,4,114
835,521,314,0,165,44,7,114
831,570,261,0,169,64,5,100
831,525,306,0,169,51,8,110
828,500,328,0,172,57,2,113
859,539,320,0,141,39,1,101
813,529,284,0,187,62,5,120
835,528,307,0,165,49,11,105
824,522,302,0,176,52,9,115
820,530,290,0,180,56,3,121
824,529,295,0,176,55,5,116
846,551,295,0,154,55,5,94
845,555,290,0,155,44,7,104
836,531,305,0,164,52,3,109
839,544,295,0,160,64,2,94
854,542,312,0,146,55,2,89
844,539,305,0,156,54,3,99
813,515,298,0,187,65,0,122
836,550,286,0,164,50,4,110
833,518,315,0,167,58,4,105
826,529,297,0,173,60,2,111
833,526,307,0,167,63,6,98
833,526,307,0,167,53,5,109
835,561,274,0,165,54,3,108
829,519,310,0,171,68,2,101
831,516,315,0,169,61,2,106
820,536,284,0,180,73,3,104
827,511,316,0,173,62,3,108
816,518,298,0,183,68,5,110
826,523,303,0,173,54,2,117
839,531,308,0,161,58,7,96
843,540,303,0,157,55,9,93
852,526,326,0,148,61,3,84
853,543,310,0,147,48,5,94
850,526,324,0,149,38,2,109
858,537,321,0,142,49,1,92
850,548,302,0,150,52,3,95
822,506,316,0,178,63,6,109
844,554,290,0,155,49,3,103
838,513,325,0,162,51,5,106
841,516,325,0,159,55,3,101
851,538,313,0,149,54,3,92
848,538,310,0,152,56,4,92
860,555,305,0,140,49,2,89
827,519,308,0,173,58,1,114
867,547,320,0,133,49,4,80
856,559,297,0,144,49,4,91
832,515,317,0,168,52,3,113
831,526,305,0,169,60,4,105
830,532,298,0,170,54,5,111
832,535,297,0,168,56,3,109
826,536,290,0,174,63,2,109
863,554,309,0,137,39,5,93
834,542,292,0,166,65,3,98
834,517,317,0,166,61,4,101
835,551,284,0,164,46,6,112
844,528,316,0,155,48,2,105
828,527,301,0,172,56,4,112
852,560,292,0,148,62,0,86
833,548,285,0,167,52,6,109
843,544,299,0,157,52,3,102
846,513,333,0,153,42,3,108
848,517,331,0,152,56,6,90
831,535,296,0,169,53,3,113
824,530,294,0,176,68,7,101
840,521,319,0,160,62,4,94
826,539,287,0,174,64,2,108
809,509,300,0,191,64,3,124
827,511,316,0,173,59,5,109
843,544,299,0,157,50,6,101
837,530,307,0,163,53,6,104
828,513,315,0,172,48,2,122
809,524,285,0,190,65,3,122
810,531,279,0,190,52,6,132
833,539,294,0,166,51,10,105
838,496,342,0,162,46,4,112
813,549,264,0,187,78,5,104
839,533,306,0,161,48,2,111
834,531,303,0,166,51,2,113
832,548,284,0,168,52,1,115
838,535,303,0,162,50,6,106
857,555,302,0,143,52,4,87
816,514,302,0,184,77,4,103
834,526,308,0,166,62,5,99
818,527,291,0,182,61,6,115
846,543,303,0,154,62,4,88
828,531,297,0,171,54,2,115
816,513,303,0,184,62,5,117
836,553,283,0,163,54,3,106
847,563,284,0,153,47,2,104
825,553,272,0,175,59,3,113
824,517,307,0,176,56,5,115
831,517,314,0,169,56,7,106
818,530,288,0,181,66,2,113
835,548,287,0,165,57,4,104
